"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"11824",35,"Private",282753,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"13285",42,"Local-gov",720428,"Some-college",10,"Married-civ-spouse","Protective-serv","Husband","Black","Male",0,0,40,"United-States",">50K","Married",1
"17615",57,"Private",265099,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States","<=50K","Married",0
"16159",46,"Private",185041,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,50,"United-States",">50K","Married",1
"16233",37,"Private",115332,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,50,"United-States","<=50K","Married",0
"45556",38,"Private",205852,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"15826",42,"Private",191429,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",15024,0,60,"United-States",">50K","Married",1
"11861",59,"Self-emp-not-inc",49893,"HS-grad",9,"Widowed","Craft-repair","Not-in-family","White","Male",0,0,24,"United-States","<=50K","Not-in-family",0
"34408",51,"Self-emp-not-inc",111283,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Female",99999,0,35,"United-States",">50K","Not-in-family",1
"15845",37,"Private",228598,"Some-college",10,"Married-civ-spouse","Handlers-cleaners","Husband","Other","Male",0,0,40,"Mexico","<=50K","Married",0
"11170",31,"Private",247328,"5th-6th",3,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,30,"El-Salvador","<=50K","Not-in-family",0
"30180",42,"Federal-gov",91468,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K","Not-in-family",0
"9539",47,"Federal-gov",87504,"Bachelors",13,"Divorced","Tech-support","Unmarried","White","Female",0,0,50,"United-States","<=50K","Unmarried",0
"39500",23,"Private",246965,"Assoc-acdm",12,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,12,"United-States","<=50K","Not-in-family",0
"15863",22,"Private",289982,"11th",7,"Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K","Not-in-family",0
"22307",29,"Private",240738,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"45911",39,"Private",706180,"Bachelors",13,"Divorced","Sales","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"14975",22,"Private",313730,"Assoc-acdm",12,"Never-married","Farming-fishing","Not-in-family","Black","Female",0,0,40,"United-States","<=50K","Not-in-family",0
"11839",47,"Local-gov",47270,"Assoc-acdm",12,"Separated","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States","<=50K","Unmarried",0
"45132",45,"Private",192776,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,55,"United-States",">50K","Married",1
"23875",60,"State-gov",358893,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","White","Female",0,2339,40,"United-States","<=50K","Not-in-family",0
"8418",17,"Private",30829,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,12,"United-States","<=50K","Own-child",0
"5113",22,"Federal-gov",280567,"Some-college",10,"Never-married","Transport-moving","Own-child","White","Male",0,0,4,"United-States","<=50K","Own-child",0
"25947",41,"Private",162189,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",1831,0,40,"Peru","<=50K","Own-child",0
"10734",18,"Private",294263,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Female",0,0,9,"United-States","<=50K","Not-in-family",0
"14701",24,"Private",231261,"12th",8,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,50,"United-States","<=50K","Married",0
"46245",34,"Private",199864,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2057,40,"United-States","<=50K","Married",0
"25687",45,"Local-gov",175958,"9th",5,"Never-married","Other-service","Own-child","White","Male",0,0,40,"United-States","<=50K","Own-child",0
"34642",47,"Private",198200,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,50,"United-States","<=50K","Not-in-family",0
"35710",41,"Private",145220,"9th",5,"Never-married","Priv-house-serv","Unmarried","White","Female",0,0,40,"Columbia","<=50K","Unmarried",0
"7306",35,"Private",182189,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K","Married",0
"30780",60,"Private",117509,"9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"37433",63,"Self-emp-inc",110610,"10th",6,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,50,"United-States","<=50K","Married",0
"23069",31,"Private",155781,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"44469",29,"Private",499197,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"2146",23,"Private",133515,"Bachelors",13,"Never-married","Sales","Unmarried","White","Female",0,0,20,"United-States","<=50K","Unmarried",0
"47292",18,"Private",225859,"Some-college",10,"Never-married","Transport-moving","Own-child","White","Male",2907,0,30,"United-States","<=50K","Own-child",0
"34147",49,"State-gov",118567,"Some-college",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"16771",38,"Private",91039,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",15024,0,60,"United-States",">50K","Married",1
"37565",46,"Self-emp-not-inc",168195,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,45,"United-States",">50K","Married",1
