"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"15420",61,"Private",57408,"Bachelors",13,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,35,"United-States","<=50K","Not-in-family",0
"37241",43,"Private",187861,"HS-grad",9,"Separated","Transport-moving","Unmarried","White","Female",0,0,44,"United-States","<=50K","Unmarried",0
"40945",57,"Private",78707,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K","Own-child",0
"16532",41,"Private",112763,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,40,"United-States",">50K","Married",1
"24216",43,"Private",972354,"Some-college",10,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,48,"United-States","<=50K","Married",0
"38168",42,"Private",336891,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","Black","Female",0,0,40,"United-States","<=50K","Not-in-family",0
"8277",48,"Private",166863,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"42610",28,"Private",145284,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,70,"United-States","<=50K","Not-in-family",0
"26859",66,"Private",193132,"9th",5,"Separated","Other-service","Not-in-family","Black","Female",0,0,30,"United-States","<=50K","Not-in-family",0
"45242",36,"Private",204590,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","Black","Female",0,213,40,"United-States","<=50K","Unmarried",0
"39305",24,"Private",117779,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,10,"Hungary","<=50K","Not-in-family",0
"14736",48,"Local-gov",273767,"Masters",14,"Married-civ-spouse","Exec-managerial","Wife","White","Female",7688,0,40,"United-States",">50K","Married",1
"7182",51,"Private",136080,"HS-grad",9,"Divorced","Sales","Other-relative","White","Female",0,0,31,"United-States","<=50K","Other-relative",0
