"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"14222",41,"Self-emp-inc",67671,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"Canada",">50K","Married",1
"45347",28,"Private",33798,"Assoc-voc",11,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"2985",28,"Private",108706,"HS-grad",9,"Married-civ-spouse","Tech-support","Wife","White","Female",0,0,40,"United-States",">50K","Married",1
"24191",31,"Private",379046,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","Asian-Pac-Islander","Female",0,0,40,"Vietnam","<=50K","Own-child",0
"41607",18,"Private",54440,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,30,"United-States","<=50K","Own-child",0
"29919",31,"Self-emp-inc",31740,"Assoc-voc",11,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,55,"United-States","<=50K","Married",0
"12539",35,"Private",151835,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,45,"United-States",">50K","Married",1
"4296",33,"Private",226629,"Some-college",10,"Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"United-States","<=50K","Own-child",0
"38654",31,"Private",416415,"HS-grad",9,"Separated","Adm-clerical","Not-in-family","White","Male",0,0,45,"United-States","<=50K","Not-in-family",0
"42709",38,"Self-emp-not-inc",239045,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"26428",37,"Private",173968,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"20853",34,"Private",299635,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,50,"United-States",">50K","Married",1
"33237",21,"Private",190227,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","White","Male",0,0,40,"United-States","<=50K","Unmarried",0
"13930",21,"Private",161902,"11th",7,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"11325",72,"Private",131699,"Some-college",10,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,6,"United-States","<=50K","Not-in-family",0
"44513",39,"Private",204527,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"16785",58,"Private",180980,"Some-college",10,"Divorced","Other-service","Unmarried","White","Female",0,0,42,"France","<=50K","Unmarried",0
"15689",32,"Private",206609,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K","Own-child",0
"39331",65,"Private",171584,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"15067",31,"State-gov",209954,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"5377",28,"Private",55360,"HS-grad",9,"Never-married","Sales","Other-relative","Black","Male",0,0,40,"United-States","<=50K","Other-relative",0
"44576",65,"Self-emp-inc",210381,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",99999,0,65,"United-States",">50K","Married",1
"27645",32,"Private",209808,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,1740,47,"United-States","<=50K","Married",0
"29212",51,"Private",115025,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"24910",34,"Private",122616,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,84,"United-States",">50K","Married",1
"27340",21,"Private",306114,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",0,0,35,"United-States","<=50K","Not-in-family",0
"46430",56,"Private",151474,"9th",5,"Divorced","Sales","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"13570",47,"Private",289517,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"34041",37,"Local-gov",98725,"Bachelors",13,"Never-married","Tech-support","Own-child","White","Female",0,0,42,"United-States","<=50K","Own-child",0
"20573",32,"Private",256609,"12th",8,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico","<=50K","Married",0
"22535",42,"Private",113324,"HS-grad",9,"Widowed","Sales","Unmarried","White","Male",0,0,40,"United-States","<=50K","Unmarried",0
"23304",41,"Federal-gov",34178,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"13755",37,"Private",138105,"HS-grad",9,"Separated","Craft-repair","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"47381",37,"Local-gov",117683,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"12959",20,"Private",20057,"Some-college",10,"Never-married","Protective-serv","Not-in-family","Amer-Indian-Eskimo","Female",0,0,40,"United-States","<=50K","Not-in-family",0
"41163",48,"Private",336540,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"7770",61,"Private",438587,"5th-6th",3,"Married-civ-spouse","Machine-op-inspct","Husband","Black","Male",0,0,40,"United-States","<=50K","Married",0
"13465",41,"State-gov",205153,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"41333",44,"Private",116391,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"36020",27,"Private",191129,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"35233",41,"Private",82161,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"32633",29,"Private",131310,"Assoc-acdm",12,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","<=50K","Own-child",0
"21838",19,"Private",57206,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","Own-child",0
"34938",24,"Private",149457,"Some-college",10,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"35480",40,"Private",145160,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"36248",19,"Private",174478,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,40,"United-States","<=50K","Own-child",0
"25198",24,"Private",146706,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,30,"United-States","<=50K","Not-in-family",0
"39644",20,"Private",306639,"Some-college",10,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,20,"United-States","<=50K","Own-child",0
"20952",33,"Private",198003,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,50,"United-States",">50K","Married",1
"21058",31,"Private",164190,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"28271",43,"Private",118536,"HS-grad",9,"Divorced","Machine-op-inspct","Other-relative","Black","Male",0,0,40,"United-States","<=50K","Other-relative",0
"26202",47,"Self-emp-not-inc",112200,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","Black","Male",10520,0,45,"United-States",">50K","Not-in-family",1
"12845",27,"Private",126060,"Assoc-voc",11,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,35,"United-States","<=50K","Not-in-family",0
"19352",27,"Private",301654,"HS-grad",9,"Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"United-States","<=50K","Own-child",0
"43698",22,"Private",65225,"10th",6,"Never-married","Other-service","Own-child","White","Female",0,0,40,"United-States","<=50K","Own-child",0
