"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"45899",27,"Self-emp-not-inc",65308,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,50,"United-States","<=50K","Married",0
"12989",45,"Private",226081,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"33881",55,"Self-emp-inc",207489,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Female",0,0,50,"Germany","<=50K","Not-in-family",0
"23961",37,"Private",152909,"Assoc-voc",11,"Married-civ-spouse","Adm-clerical","Husband","White","Male",7688,0,40,"United-States",">50K","Married",1
"751",41,"Federal-gov",46366,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","Black","Female",0,0,50,"United-States",">50K","Married",1
"260",72,"Self-emp-not-inc",243769,"Prof-school",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,1429,20,"United-States","<=50K","Not-in-family",0
"17482",45,"Federal-gov",320818,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,80,"United-States",">50K","Married",1
"5412",39,"Private",148485,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K","Married",0
"42990",65,"Federal-gov",179985,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K","Not-in-family",0
"39665",30,"Private",94413,"Some-college",10,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,30,"United-States","<=50K","Not-in-family",0
"39247",42,"Private",97142,"7th-8th",4,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"46444",54,"State-gov",137815,"12th",8,"Never-married","Other-service","Own-child","White","Male",4101,0,40,"United-States","<=50K","Own-child",0
"34480",31,"Self-emp-not-inc",117346,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States","<=50K","Married",0
"48032",44,"Private",89172,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"13018",47,"Private",209739,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"40271",41,"Local-gov",195897,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States","<=50K","Married",0
"25309",39,"Private",258102,"Some-college",10,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,50,"United-States","<=50K","Married",0
"18085",38,"Self-emp-inc",112847,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States",">50K","Married",1
"6853",42,"Local-gov",209818,"Bachelors",13,"Divorced","Prof-specialty","Other-relative","White","Female",0,0,55,"United-States","<=50K","Other-relative",0
"45912",31,"Private",32550,"10th",6,"Divorced","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"25621",46,"Private",213408,"Some-college",10,"Divorced","Sales","Unmarried","White","Female",0,0,40,"Cuba","<=50K","Unmarried",0
"5270",40,"Self-emp-not-inc",308296,"HS-grad",9,"Divorced","Other-service","Own-child","White","Female",0,0,40,"United-States","<=50K","Own-child",0
"28722",31,"Self-emp-not-inc",340880,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States","<=50K","Married",0
"22839",31,"Local-gov",357954,"Assoc-acdm",12,"Never-married","Tech-support","Not-in-family","White","Male",0,0,20,"United-States","<=50K","Not-in-family",0
"47114",43,"Local-gov",188280,"Masters",14,"Divorced","Prof-specialty","Unmarried","White","Female",914,0,40,"United-States","<=50K","Unmarried",0
