"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"7531",36,"Self-emp-not-inc",48160,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"3609",57,"Private",222477,"Some-college",10,"Married-civ-spouse","Prof-specialty","Wife","White","Female",15024,0,8,"United-States",">50K","Married",1
"35168",54,"Private",138944,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,44,"United-States","<=50K","Married",0
"44422",36,"Private",73023,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,55,"United-States","<=50K","Not-in-family",0
"21826",33,"Local-gov",342458,"Assoc-acdm",12,"Divorced","Protective-serv","Not-in-family","White","Male",0,0,56,"United-States","<=50K","Not-in-family",0
"37123",51,"Private",29887,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,44,"United-States","<=50K","Not-in-family",0
"19607",39,"Private",172718,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"44732",36,"Private",66173,"Assoc-acdm",12,"Married-civ-spouse","Sales","Wife","White","Female",0,0,15,"United-States","<=50K","Married",0
"36075",42,"Private",124792,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Black","Male",7688,0,45,"United-States",">50K","Married",1
"25825",27,"Private",244315,"HS-grad",9,"Divorced","Craft-repair","Other-relative","Other","Male",0,0,40,"United-States","<=50K","Other-relative",0
"8598",45,"Private",137946,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Male",0,0,50,"United-States","<=50K","Not-in-family",0
"2262",21,"Private",188923,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,25,"United-States","<=50K","Own-child",0
"14837",47,"Private",195963,"7th-8th",4,"Never-married","Transport-moving","Not-in-family","Other","Male",0,0,48,"Puerto-Rico","<=50K","Not-in-family",0
"37635",18,"Private",210932,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K","Own-child",0
