"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"47316",34,"State-gov",44464,"Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,60,"United-States","<=50K","Not-in-family",0
"40949",17,"Private",153021,"12th",8,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K","Own-child",0
"39255",20,"Private",291407,"11th",7,"Never-married","Handlers-cleaners","Own-child","Black","Male",0,0,40,"United-States","<=50K","Own-child",0
"48281",22,"Private",203894,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,15,"United-States","<=50K","Own-child",0
"32077",50,"Self-emp-not-inc",54261,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,84,"United-States","<=50K","Married",0
"4406",30,"Local-gov",370990,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States","<=50K","Not-in-family",0
"25503",47,"Private",344157,"11th",7,"Divorced","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"7181",23,"Private",415755,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,30,"United-States","<=50K","Own-child",0
"40192",50,"Private",138358,"10th",6,"Separated","Adm-clerical","Not-in-family","Black","Female",0,0,47,"Jamaica","<=50K","Not-in-family",0
"5161",51,"Private",171924,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,50,"United-States",">50K","Married",1
"10171",26,"Private",152263,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,45,"United-States","<=50K","Own-child",0
"43156",40,"Private",126701,"9th",5,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,45,"United-States","<=50K","Not-in-family",0
"47348",55,"Local-gov",173296,"Masters",14,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,45,"United-States","<=50K","Unmarried",0
"24383",34,"Private",248795,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Female",0,0,45,"United-States","<=50K","Not-in-family",0
"27647",18,"Private",28648,"11th",7,"Never-married","Other-service","Other-relative","White","Female",0,0,40,"United-States","<=50K","Other-relative",0
"15832",34,"Private",116371,"HS-grad",9,"Divorced","Other-service","Not-in-family","White","Female",0,0,38,"United-States","<=50K","Not-in-family",0
"46914",60,"Private",162347,"Prof-school",15,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,40,"United-States",">50K","Married",1
"36537",49,"Private",177211,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"14960",42,"Private",145178,"HS-grad",9,"Separated","Tech-support","Not-in-family","Black","Female",0,0,40,"United-States","<=50K","Not-in-family",0
