"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"45392",48,"Self-emp-inc",481987,"10th",6,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"26998",57,"Private",180920,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"16484",51,"Private",259323,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"13039",55,"Private",210318,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"11648",51,"Private",245356,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,55,"United-States",">50K","Married",1
"35127",22,"Private",228465,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,40,"United-States","<=50K","Married",0
"7051",20,"Private",313786,"HS-grad",9,"Never-married","Exec-managerial","Unmarried","Black","Female",0,0,40,"United-States","<=50K","Unmarried",0
"31998",46,"Private",154940,"Some-college",10,"Divorced","Sales","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"13126",42,"Local-gov",216411,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,35,"Puerto-Rico",">50K","Married",1
"36679",30,"Private",30063,"HS-grad",9,"Divorced","Other-service","Unmarried","White","Female",0,0,32,"United-States","<=50K","Unmarried",0
"30575",53,"Federal-gov",39643,"HS-grad",9,"Widowed","Exec-managerial","Not-in-family","White","Female",0,0,58,"United-States","<=50K","Not-in-family",0
"14566",17,"Private",318025,"HS-grad",9,"Never-married","Other-service","Other-relative","White","Male",0,0,20,"United-States","<=50K","Other-relative",0
"19951",47,"Private",84726,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"20683",48,"Local-gov",31264,"Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","White","Female",5178,0,40,"United-States",">50K","Married",1
"14786",51,"Private",150999,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"12779",56,"Private",530099,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"11105",50,"Private",148121,"Some-college",10,"Widowed","Exec-managerial","Unmarried","Asian-Pac-Islander","Female",0,0,40,"United-States","<=50K","Unmarried",0
"41749",31,"Private",209538,"10th",6,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"14839",43,"Private",195258,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"46763",50,"Self-emp-not-inc",371305,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,60,"United-States",">50K","Married",1
"26829",36,"Private",144154,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K","Not-in-family",0
"1433",31,"State-gov",46492,"Assoc-voc",11,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K","Own-child",0
"11805",58,"Private",147098,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,60,"United-States",">50K","Married",1
"26242",19,"Private",228238,"HS-grad",9,"Never-married","Machine-op-inspct","Other-relative","White","Male",0,0,40,"Mexico","<=50K","Other-relative",0
"22975",42,"Private",273230,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,90,"United-States","<=50K","Married",0
"43979",61,"Private",129246,"10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,48,"United-States","<=50K","Married",0
"39938",25,"Private",176047,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",2176,0,40,"United-States","<=50K","Own-child",0
