"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"39600",36,"Self-emp-not-inc",147258,"Assoc-voc",11,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,60,"United-States",">50K","Married",1
"28046",46,"Private",123053,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,50,"Japan",">50K","Married",1
"3479",26,"Private",182380,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"32984",49,"Private",281647,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States",">50K","Married",1
"47247",54,"Local-gov",127943,"HS-grad",9,"Widowed","Other-service","Unmarried","Black","Female",0,0,40,"United-States","<=50K","Unmarried",0
"7317",27,"Private",247507,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"39614",20,"Private",162688,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,38,"United-States","<=50K","Own-child",0
"30171",33,"Private",155475,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"8428",90,"Federal-gov",311184,"Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,99,"United-States","<=50K","Not-in-family",0
"12277",25,"Private",227548,"12th",8,"Married-civ-spouse","Other-service","Husband","Black","Male",3103,0,40,"United-States","<=50K","Married",0
"19601",20,"Private",131230,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Male",0,1590,40,"United-States","<=50K","Own-child",0
"27076",24,"Private",216563,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",0,0,40,"United-States","<=50K","Married",0
"16810",38,"Self-emp-not-inc",190387,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K","Married",0
"12931",53,"Private",239155,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"19675",33,"Private",161745,"Assoc-voc",11,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,45,"United-States","<=50K","Married",0
"31859",40,"Local-gov",63042,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,40,"United-States",">50K","Married",1
"27923",40,"Private",145439,"5th-6th",3,"Married-civ-spouse","Other-service","Husband","Other","Male",4064,0,40,"Mexico","<=50K","Married",0
"19614",34,"Private",19847,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"32680",25,"Private",188507,"7th-8th",4,"Never-married","Machine-op-inspct","Other-relative","White","Female",0,0,40,"Dominican-Republic","<=50K","Other-relative",0
"23011",30,"Private",363296,"HS-grad",9,"Never-married","Handlers-cleaners","Unmarried","Black","Male",0,0,72,"United-States","<=50K","Unmarried",0
"35278",58,"Private",199278,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,38,"United-States","<=50K","Not-in-family",0
"33357",51,"Self-emp-not-inc",85902,"10th",6,"Widowed","Transport-moving","Other-relative","White","Female",0,0,40,"United-States","<=50K","Other-relative",0
"41494",52,"Federal-gov",207841,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"20464",67,"Private",288371,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"Canada",">50K","Married",1
"24037",17,"Private",154398,"11th",7,"Never-married","Other-service","Own-child","Black","Male",0,0,16,"Haiti","<=50K","Own-child",0
"26342",52,"Private",204402,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,85,"United-States",">50K","Married",1
"13288",43,"Private",343591,"Masters",14,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,50,"United-States","<=50K","Not-in-family",0
"18422",54,"Local-gov",169785,"Masters",14,"Widowed","Prof-specialty","Unmarried","White","Female",0,0,38,"United-States","<=50K","Unmarried",0
"46052",24,"State-gov",231473,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,30,"United-States","<=50K","Married",0
"45946",64,"Private",66634,"Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Male",27828,0,50,"United-States",">50K","Unmarried",1
"38967",76,"Local-gov",178665,"9th",5,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,30,"United-States","<=50K","Married",0
"19082",47,"Private",168283,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"36907",42,"Private",71458,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States","<=50K","Married",0
"5320",27,"Self-emp-inc",217848,"12th",8,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"5791",37,"Self-emp-inc",198841,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"4702",41,"Self-emp-inc",56019,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",99999,0,50,"India",">50K","Married",1
"44605",53,"Private",226135,"9th",5,"Never-married","Craft-repair","Not-in-family","Black","Male",0,0,40,"Jamaica","<=50K","Not-in-family",0
"29072",45,"Federal-gov",98524,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"7343",27,"Private",369188,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,90,"United-States",">50K","Married",1
"1744",29,"Private",149902,"Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,80,"United-States","<=50K","Not-in-family",0
"38876",30,"Private",48520,"Assoc-acdm",12,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2002,40,"United-States","<=50K","Married",0
"29619",30,"Private",43953,"HS-grad",9,"Never-married","Adm-clerical","Other-relative","White","Female",0,1974,40,"United-States","<=50K","Other-relative",0
"2642",46,"Local-gov",232220,"Masters",14,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,50,"United-States",">50K","Not-in-family",1
"26416",26,"Private",252406,"HS-grad",9,"Separated","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"5755",33,"Private",30612,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"10847",35,"State-gov",223725,"Assoc-acdm",12,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,65,"United-States","<=50K","Married",0
"36391",44,"Private",67065,"Assoc-voc",11,"Never-married","Priv-house-serv","Not-in-family","White","Male",594,0,25,"United-States","<=50K","Not-in-family",0
"47771",28,"Local-gov",229223,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Wife","White","Female",7688,0,36,"United-States",">50K","Married",1
"47866",40,"Private",208277,"Some-college",10,"Never-married","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"30304",57,"Self-emp-not-inc",291529,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",4386,0,13,"United-States",">50K","Married",1
"36567",70,"Self-emp-inc",272896,"Doctorate",16,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"19499",59,"Private",160631,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States",">50K","Married",1
"35741",55,"Private",193130,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,1887,40,"United-States",">50K","Married",1
"11664",56,"State-gov",165867,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"28150",49,"State-gov",336509,"10th",6,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"1127",48,"Private",149640,"Some-college",10,"Separated","Craft-repair","Unmarried","White","Male",1506,0,40,"Honduras","<=50K","Unmarried",0
"21169",33,"Federal-gov",159548,"Assoc-acdm",12,"Never-married","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States","<=50K","Unmarried",0
"16411",39,"Private",365739,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
