"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"45958",52,"Private",117496,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",0,1755,40,"United-States",">50K","Unmarried",1
"37114",53,"Private",198824,"Bachelors",13,"Never-married","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"21740",33,"Private",176992,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"46434",48,"Private",119471,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,40,"India",">50K","Married",1
"28249",76,"Private",239880,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,8,"United-States","<=50K","Not-in-family",0
"626",43,"Private",203554,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,50,"United-States",">50K","Married",1
"12503",43,"Private",34278,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,35,"United-States","<=50K","Married",0
"33747",43,"Private",298161,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",0,0,40,"Nicaragua","<=50K","Married",0
"22859",41,"Local-gov",359259,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"1318",41,"Private",75171,"Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"16693",24,"Private",241951,"HS-grad",9,"Never-married","Handlers-cleaners","Unmarried","Black","Female",0,0,40,"United-States","<=50K","Unmarried",0
"26857",70,"Private",170428,"Bachelors",13,"Widowed","Prof-specialty","Unmarried","White","Female",0,0,20,"Puerto-Rico","<=50K","Unmarried",0
"41640",32,"Private",176998,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"34561",72,"Private",183616,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,50,"England","<=50K","Married",0
"7368",22,"Private",117779,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,50,"United-States","<=50K","Not-in-family",0
"21963",60,"Private",81578,"9th",5,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"37154",46,"Local-gov",170092,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,43,"United-States","<=50K","Not-in-family",0
"47432",53,"Local-gov",137250,"Masters",14,"Widowed","Prof-specialty","Unmarried","Black","Female",0,1669,35,"United-States","<=50K","Unmarried",0
"48136",31,"Private",191276,"Assoc-voc",11,"Divorced","Handlers-cleaners","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"10707",64,"Private",298546,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,70,"United-States","<=50K","Married",0
