"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"24760",30,"State-gov",70617,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,10,"China","<=50K","Married",0
"10678",43,"Self-emp-not-inc",147230,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States","<=50K","Married",0
"33205",41,"Private",143003,"Assoc-voc",11,"Married-civ-spouse","Other-service","Husband","Asian-Pac-Islander","Male",7298,0,60,"India",">50K","Married",1
"21903",36,"Private",176101,"Some-college",10,"Never-married","Craft-repair","Own-child","White","Male",2174,0,60,"United-States","<=50K","Own-child",0
"12861",28,"Private",258364,"Some-college",10,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"44447",38,"Private",296317,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico","<=50K","Married",0
"42958",29,"Private",84366,"10th",6,"Married-spouse-absent","Adm-clerical","Unmarried","White","Female",0,0,40,"Mexico","<=50K","Unmarried",0
"9333",23,"Private",34918,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,15,"United-States","<=50K","Not-in-family",0
"25059",47,"Private",121124,"9th",5,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"7272",42,"Self-emp-not-inc",32016,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,70,"United-States","<=50K","Married",0
"25713",20,"Private",41721,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,60,"United-States","<=50K","Own-child",0
"38717",27,"Private",85126,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Female",0,0,40,"United-States","<=50K","Not-in-family",0
"3433",21,"Private",116234,"Some-college",10,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,44,"United-States","<=50K","Not-in-family",0
"16045",40,"State-gov",13492,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","Amer-Indian-Eskimo","Male",0,0,84,"United-States","<=50K","Married",0
"40839",53,"Private",182855,"10th",6,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,48,"United-States","<=50K","Unmarried",0
"22749",67,"Private",126849,"10th",6,"Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male",0,0,20,"United-States","<=50K","Married",0
"28883",48,"Private",248059,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",5013,0,45,"United-States","<=50K","Married",0
"19790",37,"Private",265038,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,"United-States","<=50K","Married",0
"27875",42,"Local-gov",55363,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States",">50K","Married",1
"43591",38,"Private",357870,"12th",8,"Never-married","Machine-op-inspct","Not-in-family","Black","Female",0,0,50,"United-States","<=50K","Not-in-family",0
"11901",27,"Private",150767,"Some-college",10,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,48,"United-States","<=50K","Own-child",0
"5586",47,"Private",193047,"Doctorate",16,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"United-States","<=50K","Married",0
"43723",40,"Private",260761,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"Mexico","<=50K","Married",0
"21075",58,"Private",188982,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,20,"United-States",">50K","Married",1
"28538",73,"Private",92298,"11th",7,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,15,"United-States","<=50K","Married",0
"4025",40,"Private",218653,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"18791",31,"Private",133770,"Assoc-acdm",12,"Married-civ-spouse","Craft-repair","Not-in-family","Asian-Pac-Islander","Male",0,0,50,"United-States",">50K","Not-in-family",1
