"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"23047",28,"Private",38918,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"Germany",">50K","Married",1
"8765",24,"Local-gov",403471,"Some-college",10,"Never-married","Adm-clerical","Own-child","Black","Female",0,0,48,"United-States","<=50K","Own-child",0
"15356",31,"Private",161765,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,50,"United-States","<=50K","Not-in-family",0
"2257",40,"Private",262461,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","Black","Male",0,0,40,"United-States","<=50K","Married",0
"4570",28,"Private",451742,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K","Not-in-family",0
"20483",34,"Private",119422,"Assoc-voc",11,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1672,50,"United-States","<=50K","Married",0
"3800",42,"Federal-gov",208470,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"446",44,"Private",118059,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States",">50K","Married",1
"5924",45,"State-gov",149640,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,38,"United-States",">50K","Married",1
"22424",59,"Local-gov",197290,"9th",5,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"32672",48,"Local-gov",407495,"Assoc-acdm",12,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,56,"United-States",">50K","Married",1
"17224",38,"Self-emp-inc",196373,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"37252",20,"Private",147884,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K","Own-child",0
"489",24,"Private",194630,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,35,"United-States","<=50K","Not-in-family",0
"40783",36,"Private",126946,"Some-college",10,"Separated","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"100",20,"Private",169699,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K","Not-in-family",0
"32828",34,"Private",70466,"Assoc-voc",11,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"11904",22,"Private",264765,"Some-college",10,"Never-married","Farming-fishing","Own-child","White","Male",0,0,10,"United-States","<=50K","Own-child",0
"25870",53,"Local-gov",233734,"Masters",14,"Divorced","Prof-specialty","Not-in-family","Black","Female",0,0,40,"United-States",">50K","Not-in-family",1
"2937",21,"State-gov",82847,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,38,"United-States","<=50K","Not-in-family",0
"46717",47,"Private",107460,"HS-grad",9,"Separated","Exec-managerial","Unmarried","White","Female",0,0,37,"United-States","<=50K","Unmarried",0
